month_of,day,item,item_url
Frost,1,Rampion,https://en.wikipedia.org/wiki/Phyteuma
Frost,2,Cattle turnips,https://en.wikipedia.org/wiki/Turnip
Frost,3,Chicory,https://en.wikipedia.org/wiki/Chicory
Frost,4,Medlar,https://en.wikipedia.org/wiki/Medlar
Frost,5,Pigs,https://en.wikipedia.org/wiki/Pigs
Frost,6,Lamb's lettuce,https://en.wikipedia.org/wiki/Valerianella_locusta
Frost,7,Cauliflower,https://en.wikipedia.org/wiki/Cauliflower
Frost,8,Honey,https://en.wikipedia.org/wiki/Honey
Frost,9,Juniper,https://en.wikipedia.org/wiki/Juniper
Frost,10,the Pickaxe,Frimairehttps://en.wikipedia.org/wiki/Pickaxe
Frost,11,Wax,https://en.wikipedia.org/wiki/Wax
Frost,12,Horseradish,https://en.wikipedia.org/wiki/Horseradish
Frost,13,the Cedar tree,https://en.wikipedia.org/wiki/Cedrus
Frost,14,the Fir,https://en.wikipedia.org/wiki/Fir
Frost,15,Roe Deer,https://en.wikipedia.org/wiki/Roe_deer
Frost,16,Gorse,https://en.wikipedia.org/wiki/Gorse
Frost,17,the Cypress tree,https://en.wikipedia.org/wiki/Cupressus_sempervirens
Frost,18,Ivy,https://en.wikipedia.org/wiki/Ivy
Frost,19,Savin Juniper,https://en.wikipedia.org/wiki/Juniperus_sabina
Frost,20,the Grub-hoe,https://en.wikipedia.org/wiki/Hoe_(tool)
Frost,21,the Sugar Maple,https://en.wikipedia.org/wiki/Acer_saccharum
Frost,22,Heather,https://en.wikipedia.org/wiki/Calluna
Frost,23,Reeds,https://en.wikipedia.org/wiki/Reed_(plant)
Frost,24,Sorrel,https://en.wikipedia.org/wiki/Sorrel
Frost,25,Crickets,https://en.wikipedia.org/wiki/Crickets
Frost,26,Pine nuts,https://en.wikipedia.org/wiki/Pine_nut
Frost,27,Cork,https://en.wikipedia.org/wiki/Quercus_suber
Frost,28,Truffles,https://en.wikipedia.org/wiki/Truffles
Frost,29,Olives,https://en.wikipedia.org/wiki/Olives
Frost,30,Shovels,https://en.wikipedia.org/wiki/Shovels
