month_of,day,item,item_url
Snow,1,Peat,https://en.wikipedia.org/wiki/Peat
Snow,2,Coal,https://en.wikipedia.org/wiki/Coal
Snow,3,Bitumen,https://en.wikipedia.org/wiki/Bitumen
Snow,4,Sulphur,https://en.wikipedia.org/wiki/Sulphur
Snow,5,Dogs,https://en.wikipedia.org/wiki/Dogs
Snow,6,Lava,https://en.wikipedia.org/wiki/Lava
Snow,7,Topsoil,https://en.wikipedia.org/wiki/Topsoil
Snow,8,Manure,https://en.wikipedia.org/wiki/Manure
Snow,9,Saltpeter,https://en.wikipedia.org/wiki/Saltpeter
Snow,10,the Flail,https://en.wikipedia.org/wiki/Flail_(agriculture)
Snow,11,Granite,https://en.wikipedia.org/wiki/Granite
Snow,12,Clay,https://en.wikipedia.org/wiki/Clay
Snow,13,Slate,https://en.wikipedia.org/wiki/Slate
Snow,14,Sandstone,https://en.wikipedia.org/wiki/Sandstone
Snow,15,the Rabbit,https://en.wikipedia.org/wiki/Rabbit
Snow,16,Flint,https://en.wikipedia.org/wiki/Flint
Snow,17,Marl,https://en.wikipedia.org/wiki/Marl
Snow,18,Limestone,https://en.wikipedia.org/wiki/Limestone
Snow,19,Marble,https://en.wikipedia.org/wiki/Marble
Snow,20,the Winnowing Fan,https://en.wikipedia.org/wiki/Winnowing
Snow,21,Gypsum,https://en.wikipedia.org/wiki/Gypsum
Snow,22,Salt,https://en.wikipedia.org/wiki/Salt
Snow,23,Iron,https://en.wikipedia.org/wiki/Iron
Snow,24,Copper,https://en.wikipedia.org/wiki/Copper
Snow,25,Cats,https://en.wikipedia.org/wiki/Cats
Snow,26,Tin,https://en.wikipedia.org/wiki/Tin
Snow,27,Lead,https://en.wikipedia.org/wiki/Lead
Snow,28,Zinc,https://en.wikipedia.org/wiki/Zinc
Snow,29,Mercury,https://en.wikipedia.org/wiki/Mercury
Snow,30,the Sieve,https://en.wikipedia.org/wiki/Sieve
