month_of,day,item,item_url
Rain,1,Spurge-laurel,https://en.wikipedia.org/wiki/Spurge-laurel
Rain,2,Moss,https://en.wikipedia.org/wiki/Moss
Rain,3,Butcher's Broom,https://en.wikipedia.org/wiki/Ruscus_aculeatus
Rain,4,Snowdrop,https://en.wikipedia.org/wiki/Snowdrop
Rain,5,Bulls,https://en.wikipedia.org/wiki/Cattle
Rain,6,Laurustinus,https://en.wikipedia.org/wiki/Laurustinus
Rain,7,Tinder polypore,https://en.wikipedia.org/wiki/Fomes_fomentarius
Rain,8,Daphne mezereum,https://en.wikipedia.org/wiki/Daphne_mezereum
Rain,9,Poplar,https://en.wikipedia.org/wiki/Poplar
Rain,10,the Axe,https://en.wikipedia.org/wiki/Axe
Rain,11,Hellebore,https://en.wikipedia.org/wiki/Hellebore
Rain,12,Broccoli,https://en.wikipedia.org/wiki/Broccoli
Rain,13,Bay laurel,https://en.wikipedia.org/wiki/Bay_laurel
Rain,14,Filbert,https://en.wikipedia.org/wiki/Filbert
Rain,15,Cows,https://en.wikipedia.org/wiki/Cows
Rain,16,the Boxwood,https://en.wikipedia.org/wiki/Box_(tree)
Rain,17,Lichen,https://en.wikipedia.org/wiki/Lichen
Rain,18,the Yew,https://en.wikipedia.org/wiki/Taxus_baccata
Rain,19,Lungwort,https://en.wikipedia.org/wiki/Lungwort
Rain,20,the Billhook,https://en.wikipedia.org/wiki/Billhook
Rain,21,Pennycress,https://en.wikipedia.org/wiki/Pennycress
Rain,22,Rose Daphne,https://en.wikipedia.org/wiki/Daphne_cneorum
Rain,23,Couch grass,https://en.wikipedia.org/wiki/Elymus_repens
Rain,24,Common Knotgrass,https://en.wikipedia.org/wiki/Polygonum_aviculare
Rain,25,Hares,https://en.wikipedia.org/wiki/Hare
Rain,26,Woad,https://en.wikipedia.org/wiki/Woad
Rain,27,Hazel,https://en.wikipedia.org/wiki/Hazel
Rain,28,Cyclamen,https://en.wikipedia.org/wiki/Cyclamen
Rain,29,Celandine,https://en.wikipedia.org/wiki/Greater_celandine
Rain,30,the Sleigh,https://en.wikipedia.org/wiki/Sleigh
