month_of,day,item,item_url
Meadows,1,Alfalfa,https://en.wikipedia.org/wiki/Alfalfa
Meadows,2,Daylily,https://en.wikipedia.org/wiki/Daylily
Meadows,3,Clover,https://en.wikipedia.org/wiki/Clover
Meadows,4,Angelica,https://en.wikipedia.org/wiki/Angelica
Meadows,5,Ducks,https://en.wikipedia.org/wiki/Duck
Meadows,6,Lemon balm,https://en.wikipedia.org/wiki/Lemon_balm
Meadows,7,Oat grass,https://en.wikipedia.org/wiki/Arrhenatherum
Meadows,8,Maragon lily,https://en.wikipedia.org/wiki/Lilium_martagon
Meadows,9,Wild Thyme,https://en.wikipedia.org/wiki/Thymus_serpyllum
Meadows,10,the Scythe,https://en.wikipedia.org/wiki/Scythe
Meadows,11,Strawberries,https://en.wikipedia.org/wiki/Strawberries
Meadows,12,Betony,https://en.wikipedia.org/wiki/Stachys_officinalis
Meadows,13,Peas,https://en.wikipedia.org/wiki/Pea
Meadows,14,Acacia,https://en.wikipedia.org/wiki/Acacia
Meadows,15,Quails,https://en.wikipedia.org/wiki/Quails
Meadows,16,Carnations,https://en.wikipedia.org/wiki/Carnations
Meadows,17,Elderberries,https://en.wikipedia.org/wiki/Elderberries
Meadows,18,Poppies,https://en.wikipedia.org/wiki/Papaver_rhoeas
Meadows,19,Linden trees,https://en.wikipedia.org/wiki/Tilia_cordata
Meadows,20,the Pitchfork,https://en.wikipedia.org/wiki/Pitchfork
Meadows,21,Cornflower,https://en.wikipedia.org/wiki/Cornflower
Meadows,22,Camomile,https://en.wikipedia.org/wiki/Camomile
Meadows,23,Honeysuckle,https://en.wikipedia.org/wiki/Honeysuckle
Meadows,24,Bedstraw,https://en.wikipedia.org/wiki/Bedstraw
Meadows,25,the Tench,https://en.wikipedia.org/wiki/Tench
Meadows,26,Jasmine,https://en.wikipedia.org/wiki/Jasmine
Meadows,27,Verbena,https://en.wikipedia.org/wiki/Verbena
Meadows,28,Thyme,https://en.wikipedia.org/wiki/Thyme
Meadows,29,Peony,https://en.wikipedia.org/wiki/Peony
Meadows,30,the Hand Cart,https://en.wikipedia.org/wiki/Handcart
