month_of,day,item,item_url
Heat,1,Spelt,https://en.wikipedia.org/wiki/Spelt
Heat,2,Common mullein,https://en.wikipedia.org/wiki/Common_mullein
Heat,3,Melon,https://en.wikipedia.org/wiki/Melon
Heat,4,Ryegrass,https://en.wikipedia.org/wiki/Ryegrass
Heat,5,Rams,https://en.wikipedia.org/wiki/Sheep
Heat,6,Horsetail,https://en.wikipedia.org/wiki/Horsetail
Heat,7,Mugwort,https://en.wikipedia.org/wiki/Mugwort
Heat,8,Safflower,https://en.wikipedia.org/wiki/Safflower
Heat,9,Blackberry,https://en.wikipedia.org/wiki/Blackberry
Heat,10,the Watering can,https://en.wikipedia.org/wiki/Watering_can
Heat,11,Foxtail millet,https://en.wikipedia.org/wiki/Panicum_italicum
Heat,12,Glasswort,https://en.wikipedia.org/wiki/Glasswort
Heat,13,Apricots,https://en.wikipedia.org/wiki/Apricots
Heat,14,Basil,https://en.wikipedia.org/wiki/Basil
Heat,15,Ewes,https://en.wikipedia.org/wiki/Sheep
Heat,16,Marshmallow,https://en.wikipedia.org/wiki/Althaea_officinalis
Heat,17,Flax,https://en.wikipedia.org/wiki/Flax
Heat,18,Almonds,https://en.wikipedia.org/wiki/Almonds
Heat,19,Gentian,https://en.wikipedia.org/wiki/Gentian
Heat,20,the Lock,https://en.wikipedia.org/wiki/Lock_(water_transport)
Heat,21,Carline thistle,https://en.wikipedia.org/wiki/Carline_thistle
Heat,22,Capers,https://en.wikipedia.org/wiki/Capers
Heat,23,Lentils,https://en.wikipedia.org/wiki/Lentils
Heat,24,Inula,https://en.wikipedia.org/wiki/Inula
Heat,25,Otters,https://en.wikipedia.org/wiki/Otters
Heat,26,Myrtle,https://en.wikipedia.org/wiki/Myrtus
Heat,27,Rapeseed,https://en.wikipedia.org/wiki/Rapeseed
Heat,28,Lupin,https://en.wikipedia.org/wiki/Lupin
Heat,29,Cotton,https://en.wikipedia.org/wiki/Cotton
Heat,30,the Mill,https://en.wikipedia.org/wiki/Windmill
