month_of,day,item,item_url
Vintage,1,Grapes,https://en.wikipedia.org/wiki/Grape
Vintage,2,Saffron,https://en.wikipedia.org/wiki/Saffron
Vintage,3,Chestnuts,https://en.wikipedia.org/wiki/Chestnuts
Vintage,4,Autumn Crocus,https://en.wikipedia.org/wiki/Colchicum_autumnale
Vintage,5,Horses,https://en.wikipedia.org/wiki/Horses
Vintage,6,Impatiens,https://en.wikipedia.org/wiki/Impatiens
Vintage,7,Carrots,https://en.wikipedia.org/wiki/Carrots
Vintage,8,Amaranth,https://en.wikipedia.org/wiki/Amaranth
Vintage,9,Parsnips,https://en.wikipedia.org/wiki/Parsnips
Vintage,10,Vats,https://en.wikipedia.org/wiki/Storage_tank
Vintage,11,Potatoes,https://en.wikipedia.org/wiki/Potatoes
Vintage,12,Strawflower,https://en.wikipedia.org/wiki/Strawflower
Vintage,13,Winter squash,https://en.wikipedia.org/wiki/Winter_squash
Vintage,14,Mignonette,https://en.wikipedia.org/wiki/Mignonette
Vintage,15,Donkeys,https://en.wikipedia.org/wiki/Donkeys
Vintage,16,Four o'clock flowers,https://en.wikipedia.org/wiki/Mirabilis_jalapa
Vintage,17,Pumpkins,https://en.wikipedia.org/wiki/Pumpkins
Vintage,18,Buckwheat,https://en.wikipedia.org/wiki/Buckwheat
Vintage,19,Sunflowers,https://en.wikipedia.org/wiki/Sunflowers
Vintage,20,the Wine-Press,https://en.wikipedia.org/wiki/Fruit_press
Vintage,21,Hemp,https://en.wikipedia.org/wiki/Hemp
Vintage,22,Peaches,https://en.wikipedia.org/wiki/Peaches
Vintage,23,Turnips,https://en.wikipedia.org/wiki/Turnips
Vintage,24,Amaryllis,https://en.wikipedia.org/wiki/Amaryllis
Vintage,25,Oxen,https://en.wikipedia.org/wiki/Oxen
Vintage,26,Eggplants,https://en.wikipedia.org/wiki/Eggplants
Vintage,27,Chili Peppers,https://en.wikipedia.org/wiki/Chili_pepper
Vintage,28,Tomatoes,https://en.wikipedia.org/wiki/Tomatoes
Vintage,29,Barley,https://en.wikipedia.org/wiki/Barley
Vintage,30,the Barrel,https://en.wikipedia.org/wiki/Barrel#Beverage_maturing
