id,month,month_of, week,day,sansculottides,item,item_url
1,Vendemiaire,Vintage,1,1,FALSE,Grapes,https://en.wikipedia.org/wiki/Grape
2,Vendemiaire,Vintage,1,2,FALSE,Saffron,https://en.wikipedia.org/wiki/Saffron
3,Vendemiaire,Vintage,1,3,FALSE,Chestnuts,https://en.wikipedia.org/wiki/Chestnuts
4,Vendemiaire,Vintage,1,4,FALSE,Autumn Crocus,https://en.wikipedia.org/wiki/Colchicum_autumnale
5,Vendemiaire,Vintage,1,5,FALSE,Horses,https://en.wikipedia.org/wiki/Horses
6,Vendemiaire,Vintage,1,6,FALSE,Impatiens,https://en.wikipedia.org/wiki/Impatiens
7,Vendemiaire,Vintage,1,7,FALSE,Carrots,https://en.wikipedia.org/wiki/Carrots
8,Vendemiaire,Vintage,1,8,FALSE,Amaranth,https://en.wikipedia.org/wiki/Amaranth
9,Vendemiaire,Vintage,1,9,FALSE,Parsnips,https://en.wikipedia.org/wiki/Parsnips
10,Vendemiaire,Vintage,1,10,FALSE,Vats,https://en.wikipedia.org/wiki/Storage_tank
11,Vendemiaire,Vintage,2,11,FALSE,Potatoes,https://en.wikipedia.org/wiki/Potatoes
12,Vendemiaire,Vintage,2,12,FALSE,Strawflower,https://en.wikipedia.org/wiki/Strawflower
13,Vendemiaire,Vintage,2,13,FALSE,Winter squash,https://en.wikipedia.org/wiki/Winter_squash
14,Vendemiaire,Vintage,2,14,FALSE,Mignonette,https://en.wikipedia.org/wiki/Mignonette
15,Vendemiaire,Vintage,2,15,FALSE,Donkeys,https://en.wikipedia.org/wiki/Donkeys
16,Vendemiaire,Vintage,2,16,FALSE,Four o'clock flowers,https://en.wikipedia.org/wiki/Mirabilis_jalapa
17,Vendemiaire,Vintage,2,17,FALSE,Pumpkins,https://en.wikipedia.org/wiki/Pumpkins
18,Vendemiaire,Vintage,2,18,FALSE,Buckwheat,https://en.wikipedia.org/wiki/Buckwheat
19,Vendemiaire,Vintage,2,19,FALSE,Sunflowers,https://en.wikipedia.org/wiki/Sunflowers
20,Vendemiaire,Vintage,2,20,FALSE,the Wine-Press,https://en.wikipedia.org/wiki/Fruit_press
21,Vendemiaire,Vintage,3,21,FALSE,Hemp,https://en.wikipedia.org/wiki/Hemp
22,Vendemiaire,Vintage,3,22,FALSE,Peaches,https://en.wikipedia.org/wiki/Peaches
23,Vendemiaire,Vintage,3,23,FALSE,Turnips,https://en.wikipedia.org/wiki/Turnips
24,Vendemiaire,Vintage,3,24,FALSE,Amaryllis,https://en.wikipedia.org/wiki/Amaryllis
25,Vendemiaire,Vintage,3,25,FALSE,Oxen,https://en.wikipedia.org/wiki/Oxen
26,Vendemiaire,Vintage,3,26,FALSE,Eggplants,https://en.wikipedia.org/wiki/Eggplants
27,Vendemiaire,Vintage,3,27,FALSE,Chili Peppers,https://en.wikipedia.org/wiki/Chili_pepper
28,Vendemiaire,Vintage,3,28,FALSE,Tomatoes,https://en.wikipedia.org/wiki/Tomatoes
29,Vendemiaire,Vintage,3,29,FALSE,Barley,https://en.wikipedia.org/wiki/Barley
30,Vendemiaire,Vintage,3,30,FALSE,the Barrel,https://en.wikipedia.org/wiki/Barrel#Beverage_maturing
31,Brumaire,Mist,1,1,FALSE,Apples,https://en.wikipedia.org/wiki/Apples
32,Brumaire,Mist,1,2,FALSE,Celery,https://en.wikipedia.org/wiki/Celery
33,Brumaire,Mist,1,3,FALSE,Pears,https://en.wikipedia.org/wiki/Pears
34,Brumaire,Mist,1,4,FALSE,Beetroot,https://en.wikipedia.org/wiki/Beetroot
35,Brumaire,Mist,1,5,FALSE,Geese,https://en.wikipedia.org/wiki/Geese
36,Brumaire,Mist,1,6,FALSE,Heliotrope,https://en.wikipedia.org/wiki/Heliotropium
37,Brumaire,Mist,1,7,FALSE,the Common fig,https://en.wikipedia.org/wiki/Common_fig
38,Brumaire,Mist,1,8,FALSE,Black Salsify,https://en.wikipedia.org/wiki/Scorzonera_hispanica
39,Brumaire,Mist,1,9,FALSE,the Chequer Tree,https://en.wikipedia.org/wiki/Sorbus_torminalis
40,Brumaire,Mist,1,10,FALSE,the Plough,https://en.wikipedia.org/wiki/Plough
41,Brumaire,Mist,2,11,FALSE,Salsify,https://en.wikipedia.org/wiki/Tragopogon_porrifolius
42,Brumaire,Mist,2,12,FALSE,Water caltrop,https://en.wikipedia.org/wiki/Water_caltrop
43,Brumaire,Mist,2,13,FALSE,Jerusalem artichokes,https://en.wikipedia.org/wiki/Jerusalem_artichoke
44,Brumaire,Mist,2,14,FALSE,Endives,https://en.wikipedia.org/wiki/Endives
45,Brumaire,Mist,2,15,FALSE,Turkeys,https://en.wikipedia.org/wiki/Turkeys
46,Brumaire,Mist,2,16,FALSE,Skirret,https://en.wikipedia.org/wiki/Skirret
47,Brumaire,Mist,2,17,FALSE,Watercress,https://en.wikipedia.org/wiki/Watercress
48,Brumaire,Mist,2,18,FALSE,Leadworts,https://en.wikipedia.org/wiki/Leadworts
49,Brumaire,Mist,2,19,FALSE,Pomegranates,https://en.wikipedia.org/wiki/Pomegranates
50,Brumaire,Mist,2,20,FALSE,the Harrow,https://en.wikipedia.org/wiki/Harrow_(tool)
51,Brumaire,Mist,3,21,FALSE,Baccharis,https://en.wikipedia.org/wiki/Baccharis
52,Brumaire,Mist,3,22,FALSE,Azarole,https://en.wikipedia.org/wiki/Azarole
53,Brumaire,Mist,3,23,FALSE,Madder,https://en.wikipedia.org/wiki/Madder
54,Brumaire,Mist,3,24,FALSE,Oranges,https://en.wikipedia.org/wiki/Oranges
55,Brumaire,Mist,3,25,FALSE,the Pheasant,https://en.wikipedia.org/wiki/Pheasant
56,Brumaire,Mist,3,26,FALSE,Pistachios,https://en.wikipedia.org/wiki/Pistachios
57,Brumaire,Mist,3,27,FALSE,Tuberous peas,https://en.wikipedia.org/wiki/Lathyrus_tuberosus
58,Brumaire,Mist,3,28,FALSE,Quince,https://en.wikipedia.org/wiki/Quince
59,Brumaire,Mist,3,29,FALSE,the Service tree,https://en.wikipedia.org/wiki/Sorbus_domestica
60,Brumaire,Mist,3,30,FALSE,the Roller,https://en.wikipedia.org/wiki/Roller_(agricultural_tool)
61,Frimaire,Frost,1,1,FALSE,Rampion,https://en.wikipedia.org/wiki/Phyteuma
62,Frimaire,Frost,1,2,FALSE,Cattle turnips,https://en.wikipedia.org/wiki/Turnip
63,Frimaire,Frost,1,3,FALSE,Chicory,https://en.wikipedia.org/wiki/Chicory
64,Frimaire,Frost,1,4,FALSE,Medlar,https://en.wikipedia.org/wiki/Medlar
65,Frimaire,Frost,1,5,FALSE,Pigs,https://en.wikipedia.org/wiki/Pigs
66,Frimaire,Frost,1,6,FALSE,Lamb's lettuce,https://en.wikipedia.org/wiki/Valerianella_locusta
67,Frimaire,Frost,1,7,FALSE,Cauliflower,https://en.wikipedia.org/wiki/Cauliflower
68,Frimaire,Frost,1,8,FALSE,Honey,https://en.wikipedia.org/wiki/Honey
69,Frimaire,Frost,1,9,FALSE,Juniper,https://en.wikipedia.org/wiki/Juniper
70,Frimaire,Frost,1,10,FALSE,the Pickaxe,https://en.wikipedia.org/wiki/Pickaxe
71,Frimaire,Frost,2,11,FALSE,Wax,https://en.wikipedia.org/wiki/Wax
72,Frimaire,Frost,2,12,FALSE,Horseradish,https://en.wikipedia.org/wiki/Horseradish
73,Frimaire,Frost,2,13,FALSE,the Cedar tree,https://en.wikipedia.org/wiki/Cedrus
74,Frimaire,Frost,2,14,FALSE,the Fir,https://en.wikipedia.org/wiki/Fir
75,Frimaire,Frost,2,15,FALSE,Roe Deer,https://en.wikipedia.org/wiki/Roe_deer
76,Frimaire,Frost,2,16,FALSE,Gorse,https://en.wikipedia.org/wiki/Gorse
77,Frimaire,Frost,2,17,FALSE,the Cypress tree,https://en.wikipedia.org/wiki/Cupressus_sempervirens
78,Frimaire,Frost,2,18,FALSE,Ivy,https://en.wikipedia.org/wiki/Ivy
79,Frimaire,Frost,2,19,FALSE,Savin Juniper,https://en.wikipedia.org/wiki/Juniperus_sabina
80,Frimaire,Frost,2,20,FALSE,the Grub-hoe,https://en.wikipedia.org/wiki/Hoe_(tool)
81,Frimaire,Frost,3,21,FALSE,the Sugar Maple,https://en.wikipedia.org/wiki/Acer_saccharum
82,Frimaire,Frost,3,22,FALSE,Heather,https://en.wikipedia.org/wiki/Calluna
83,Frimaire,Frost,3,23,FALSE,Reeds,https://en.wikipedia.org/wiki/Reed_(plant)
84,Frimaire,Frost,3,24,FALSE,Sorrel,https://en.wikipedia.org/wiki/Sorrel
